sample,epochs (1800s)
fukunaga_scanalyzer-sat11-strips_p04_dfs_fs_500x200,900
fukunaga_scanalyzer-sat11-strips_p05_dfs_fs_500x200,920
fukunaga_scanalyzer-sat11-strips_p06_dfs_fs_500x200,980
fukunaga_scanalyzer-sat11-strips_p07_dfs_fs_500x200,910
fukunaga_scanalyzer-sat11-strips_p08_dfs_fs_500x200,970
fukunaga_scanalyzer-sat11-strips_p09_dfs_fs_500x200,930
fukunaga_scanalyzer-sat11-strips_p10_dfs_fs_500x200,910
fukunaga_scanalyzer-sat11-strips_p11_dfs_fs_500x200,920
fukunaga_scanalyzer-sat11-strips_p12_dfs_fs_500x200,930
fukunaga_scanalyzer-sat11-strips_p13_dfs_fs_500x200,940
fukunaga_scanalyzer-sat11-strips_p14_dfs_fs_500x200,890
fukunaga_scanalyzer-sat11-strips_p15_dfs_fs_500x200,880
fukunaga_scanalyzer-sat11-strips_p16_dfs_fs_500x200,820
fukunaga_scanalyzer-sat11-strips_p17_dfs_fs_500x200,820
fukunaga_scanalyzer-sat11-strips_p18_dfs_fs_500x200,920
fukunaga_scanalyzer-sat11-strips_p19_dfs_fs_500x200,920
fukunaga_scanalyzer-sat11-strips_p20_dfs_fs_500x200,930
fukunaga_depot_p01_dfs_fs_500x200,880
fukunaga_depot_p02_dfs_fs_500x200,860
fukunaga_depot_p03_dfs_fs_500x200,830
fukunaga_depot_p04_dfs_fs_500x200,840
fukunaga_depot_p05_dfs_fs_500x200,810
fukunaga_depot_p06_dfs_fs_500x200,750
fukunaga_depot_p07_dfs_fs_500x200,850
fukunaga_depot_p08_dfs_fs_500x200,810
fukunaga_depot_p09_dfs_fs_500x200,740
fukunaga_depot_p10_dfs_fs_500x200,820
fukunaga_depot_p11_dfs_fs_500x200,790
fukunaga_depot_p12_dfs_fs_500x200,720
fukunaga_depot_p13_dfs_fs_500x200,820
fukunaga_depot_p14_dfs_fs_500x200,770
fukunaga_depot_p15_dfs_fs_500x200,700
fukunaga_depot_p16_dfs_fs_500x200,820
fukunaga_depot_p17_dfs_fs_500x200,780
fukunaga_depot_p18_dfs_fs_500x200,700
fukunaga_depot_p19_dfs_fs_500x200,770
fukunaga_depot_p20_dfs_fs_500x200,750
fukunaga_depot_p21_dfs_fs_500x200,750
fukunaga_depot_p22_dfs_fs_500x200,590
